organisasjonsnummer,navn
811879312,17. MAI NEMDA KAUPANGER
813521792,1ST BRANDS AS
813646552,1 SBX AS
813657872,1. SKUDENESHAVN SJØ SPEIDERGRUPPE
814048462,10TH PLANET JIU JITSU BERGEN - FRODE NILSEN
814095592,1. HØVIK SPEIDERGRUPPE
814440222,17. MAI KOMITEEN
815124022,1 P.P.H.U PECHERZEWSKI PECHERZEWSKI WALDEMAR
815886992,"100% FOREIGN OWNED SUBSIDIARY ""SIEMENS UKRAINE"""
815911342,1. DRAMMEN SPEIDERGRUPPE
817188222,1DEKKBUTIKK.NO AS
817590152,1TORE-PARTYMUSIKK TORE HAUKEDAL
818278462,11 STARS IDRETTSLAG
818707282,10TH MUSIC DA
818779542,1PLUSS1 KOMPETANSE AS
818825072,17. MAIKOMITEEN VED INNBYGDA SKOLE
818874502,10NA'S FRISØR AS
818931972,11222 GROUP AS
819302332,1. NORDSTRAND SPEIDERGRUPPE
819767122,10FOLD AS
819772932,1. GRUE SPEIDERGRUPPE
820409922,17.MAI KOMITEEN 2018 I SAMNANGER
820450892,123 MASKIN AS
820767942,17. MAI - SØVIK SKULEKRINS
821018072,17. MAI BYGLAND
821066212,123 HOUSING AS
821575532,1KONTOR AS
822307132,123 PROSJEKT AS
822981992,1991 TAAR NÁÁN AMYEEN-KWÉ
824615152,1852 BÅT OG MOTOR AS
825176292,1SELECTION CLOTHING SVANBERG
826152842,1.TRINN HYSTAD SKULE
826776242,1 RÆTT OG 2 VRANG AS
826881402,1STOPWIND LTD
826926872,17. MAI KOMITE LAVIK
827006602,1STOPWIND LTD
827015482,14G KITTILSEN
827322202,1956384660 DU HAR AS
827367362,1STOPP AS
828034812,1842 HOLDING AS
829182092,17.MAI NEMDA MYRKDALEN
829447622,123 BAD OG INTERIØR AS KONKURSBO
829619342,123-BYGG.NO BERNTSEN
829661802,10TING CHRISTINE VIE
830006672,1% FESTENYTT AS
830173242,1-2-3 MULTI AS KONKURSBO
830301402,110 AGDER IKS
830675752,1814 PROSJEKT 2 AS
830697322,1313 SELAH AS
832095222,14YOU
832336882,109SAMMEN
