organisasjonsnummer,navn
817539602,5 ZENZES AS
819872872,5 GRANDS LILLEBORG
825082522,50 TIL 100 AS
829645572,5G DEVELOPMENT PROSTA SPOLKA AKCYJNA
830940022,5 ANDERSEN HOLDING AS
884251052,5 X H MOTE NATIONAL AS
887468222,5K INTERNATIONAL AS
889089342,5:1 AKTØRENE
892057702,5. GREFSEN KFUM SPEIDERGRUPPE
911641534,5 STAR AS
912786676,55TH PARALLEL NORTH AB
912786765,55TH PARALLEL NORTH AB
913534433,500FJELL SONDRE KVAMBEKK
913940121,5M HOLDING AS
913990773,5 FLÅTEN AS
914063094,5T INVEST AS
914166489,50 DEGREES NORTH NORDIC AS
914989973,5 PÅ TVERS
915020127,5RYTMERERIKSØYLAND
915434800,51 INVEST ANS
915497918,5029INC ANS
915804047,5S SØLVI EGELAND LARSEN
916657986,5 STAR HOLDING AS
916830653,5ARNS DATA V/OMAR LIEN
917028915,55 KNOP AS
917386250,5K INVEST AS
917554579,5ARNS DATA AS
917872074,5IVE AS
918526226,59'NORD OMSORG OG SERVICE AS
918602194,5.DIMENSJONQUANTUMHEALING TORILL HUSBY
918670491,5KU HOLDING AS
919272341,50 +
919454709,52 DRIFT AS
919880481,5 BAR AS
919966645,5AB INVEST AS
920035639,5 ÅVER DA
920143393,56 INVEST AS
920228038,51K ARTERIET
920239196,5S HOLDING AS
920728626,5. KOLBOTN ST. GEORGSGILDE
920764045,55 ASSET MANAGEMENT AS
921061315,54HP LTD
921128207,54HP LTD
921258542,56/9 INTERIØRDESIGN DYNGELAND
921389671,501 HOLDING AS
921461291,5K PRODUCTIONS AS
921688989,5 STAR NGOR AS
921742800,5 INVEST AS
922635900,5. SKIEN MS
922787352,5029INC AS
922932573,50/50 CATERING ALEXANDER HEATH
923602739,50 PLUSS AS
923672885,59 EIENDOM AS
924015829,55 KOLLEKTIVET AS
924956186,5 STAR FOODS AS
924957913,5ILM ULFUR KJALAR EYJOLFSSON
925151564,5-PLUSS AS
925362662,5080 NYHETSKANALEN AS
925546917,5G TRANSPORT AS
925845817,5 M HOLDING AS
925888729,524 LI
926021893,59 GRADER NORD
926086847,5M GRUPPEN AS
926310623,5 KLØVER REKRUTTERING AS
926435825,505 HOLDING AS
926677845,5T STYLE AS
926875043,5 EIENDOM AS
927088355,5D WOUND CARE AS
927110660,5 STARS VVS SERVICE AS
927201445,58 NORTH AB
927348829,58 NORTH AB
927554267,5 STARS BUSINESS AS
928125807,5259 HOLDING AS
928648168,56 NORTH HOLDING AS
928687732,583 HOLDING AS
929240251,5AMUNDSEN AS
929458842,5G DEVELOPMENT
930297275,5212 CHRISTENSEN
930380148,5ME INVEST AS
930796328,5ELEMENT AS
931032909,507 PROJECTS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA
931084453,5R-HOLDING AS
931130293,507 INVEST AS
931231022,5R-INVEST AS
931255517,507 PROJECTS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA
931385399,5033 SKRE
931533703,5071 MC BERGEN VEST
931698869,50/50 INVEST AS
931802151,534 AT TOMASZ NOWAKOWSKI
931958054,5 STJERNER MALER AS
932011298,5STARS ESPORT
932033305,58 HOLDING AS
932223538,50Y HOLDING AS
932275368,5TH ELEMENT AS
932412373,5 KARA 1 POD UNGDOMSBEDRIFT
932573997,5XT HOLDING AS
977674476,5895 INVEST AS
979389361,50METERSKOGEN RUNDBERG
979917430,5 ELEMENT KURS I SELVUTVIKLING ANDERSSEN
983365841,5750 OPEDAL & SØNER
984140797,50+ FEMTIPLUSS FORENINGEN FOR GODT VOKSNE
984813740,5 DRAMMEN SJØ
987033452,5TH ELEPHANT STUDIO CHRISTOPHER SWAHN ZIBELL
987282142,5DØTRE
987494913,58N EIENDOM AS
988768456,592 FAGFORBUNDET GOL
988903396,5 SVANER - URMEDISIN TORSTEIN SEINESS SIMONSEN
990555079,5 ELEMENTS NORUM
991108017,5C EIENDOM AS
991960740,58PLUS AS
991990194,5B PROSJEKT AS
993292060,5. HAMAR KFUK-KFUM-SPEIDERE
994280805,5. BERGEN ST. GEORGS GILDE
996108082,5.DAGSBALLET KONGSVINGER
996391817,5. ÅLESUND SPEIDERGRUPPE
996660818,5. EIDSVOLL SPEIDERGRUPPE
997095510,50 ORD THOMAS GEISNER
997550412,57FEMTI TANNTEKNISK LAB - JACEK NIEDBALSKI
997677897,5B.NO AS
998696119,5C INVEST AS
999261531,59NORTH - KEN WESTGAARD
999330525,5. REKKA SUPPORTERKLUBB
